OPEID,Name,Address,City,State,State Desc,Zip Code,Zip Ext,ProgLength,SchoolType,Year 1,"Dual
Num 1","Dual
Denom 1",DRate 1,PRate 1,EthnicCode,Program,Cong Dis,Region,Year 2,"Dual
Num 2","Dual
Denom 2",DRate 2,PRate 2,Year 3,"Dual
Num 3","Dual
Denom 3",DRate 3,PRate 3
025240,SUNSTATE ACADEMY                                                 ,2525 DREW STREET                                  ,CLEARWATER          ,FL,FLORIDA                                                     ,33765,2702,5,3,2014,16,183,8.7,A,5,D,10      ,04,2013,14,191,7.3,A,2012,11,175,6.2,A
025259,ARTISTIC ACADEMY OF HAIR DESIGN                                  ,"301 GIBRALTAR DRIVE, SUITE 1A      ROUTE 10 EAST  ",MORRIS PLAINS       ,NJ,NEW JERSEY                                                  ,07950,1409,3,3,2014,8,105,7.6,A,5,D,11      ,02,2013,22,119,18.4,A,2012,23,140,16.4,A
025282,ROBERT FIANCE BEAUTY SCHOOLS                                     ,121 WATCHUNG AVENUE                               ,NORTH PLAINFIELD    ,NJ,NEW JERSEY                                                  ,07060,4840,3,3,2014,7,98,7.1,A,5,D,07      ,02,2013,12,97,12.3,A,2012,4,79,5.0,A
025283,TDDS TECHNICAL INSTITUTE                                         ,"1688 NORTH PRICETOWN ROAD, SR 534                 ",LAKE MILTON         ,OH,OHIO                                                        ,44429,9626,3,3,2014,28,296,9.4,A,5,D,06      ,05,2013,39,308,12.6,A,2012,41,316,12.9,A
025295,HAMRICK SCHOOL                                                   ,1156 MEDINA ROAD                                  ,MEDINA              ,OH,OHIO                                                        ,44256,0000,2,3,2014,48,159,30.1,A,5,D,16      ,05,2013,37,153,24.1,A,2012,41,146,28.0,A
025298,WILKES BARRE AREA CAREER AND TECHNICAL CENTER PRACTICAL NURSING P,350 JUMPER ROAD                                   ,WILKES-BARRE        ,PA,PENNSYLVANIA                                                ,18705,0699,3,1,2014,14,121,11.5,A,5,D,11      ,03,2013,8,103,7.7,A,2012,19,115,16.5,A
025306,SAINT CHARLES COMMUNITY COLLEGE                                  ,4601 MID RIVERS MALL DRIVE                        ,COTTLEVILLE         ,MO,MISSOURI                                                    ,63376,0975,5,1,2014,87,796,10.9,A,5,D,02      ,07,2013,97,815,11.9,A,2012,109,818,13.3,A
025307,SEBRING CAREER SCHOOLS                                           ,6672 HIGHWAY 06 SOUTH                             ,HOUSTON             ,TX,TEXAS                                                       ,77083,1510,3,3,2014,25,88,28.4,B,5,D,25      ,06,2013,12,34,35.2,A,2012,13,38,34.2,A
025312,WOODWARD BEAUTY COLLEGE                                          ,502 TEXAS                                         ,WOODWARD            ,OK,OKLAHOMA                                                    ,73801,3336,3,3,2014,9,63,14.2,B,5,D,03      ,06,2013,9,53,16.9,B,2012,9,38,23.6,B
025318,PAUL MITCHELL THE SCHOOL PROVO                                   ,480 NORTH 900 EAST                                ,PROVO               ,UT,UTAH                                                        ,84606,3424,4,3,2014,125,1169,10.6,A,5,D,03      ,08,2013,120,1274,9.4,A,2012,75,776,9.6,A
025326,LANDMARK COLLEGE                                                 ,19 RIVER ROAD SOUTH                               ,PUTNEY              ,VT,VERMONT                                                     ,05346,0000,6,2,2014,10,136,7.3,A,5,D,AL      ,01,2013,16,145,11.0,A,2012,8,163,4.9,A
025336,ROSS MEDICAL EDUCATION CENTER                                    ,4106 W. SAGINAW HIGHWAY                           ,LANSING             ,MI,MICHIGAN                                                    ,48917,2108,5,3,2014,159,664,23.9,A,5,D,08      ,05,2013,104,570,18.2,A,2012,163,889,18.3,A
025340,NATIONAL UNIVERSITY OF NATURAL MEDICINE                          ,049 SOUTHWEST PORTER STREET                       ,PORTLAND            ,OR,OREGON                                                      ,97201,4878,8,2,2014,2,109,1.8,A,5,D,01      ,10,2013,1,141,0.7,A,2012,1,136,0.7,A
025349,PONCE PARAMEDICAL COLLEGE (POPAC)                                ,VILLA FLORES URBANZATION           1213 ACACIA STR,PONCE               ,PR,PUERTO RICO                                                 ,00716,2901,5,3,2014,130,568,22.8,A,5,D,AL      ,02,2013,120,541,22.1,A,2012,132,645,20.4,A
025364,LOUISIANA ACADEMY OF BEAUTY                                      ,550 EAST LAUREL AVENUE                            ,EUNICE              ,LA,LOUISIANA                                                   ,70535,3512,3,3,2014,17,58,29.3,B,5,D,07      ,06,2013,20,77,25.9,B,2012,24,79,30.3,B
025372,PALOMAR INSTITUTE OF COSMETOLOGY                                 ,355 VIA VERA CRUZ # 3                             ,SAN MARCOS          ,CA,CALIFORNIA                                                  ,92078,2644,3,3,2014,22,112,19.6,A,5,D,50      ,09,2013,12,104,11.5,A,2012,15,134,11.1,A
025383,DELTA COLLEGE OF ARTS & TECHNOLOGY                               ,7380 EXCHANGE PLACE                               ,BATON ROUGE         ,LA,LOUISIANA                                                   ,70806,1529,5,3,2014,71,564,12.5,A,5,D,06      ,06,2013,63,490,12.8,A,2012,74,452,16.3,A
025385,ARTHUR'S BEAUTY COLLEGE                                          ,2600 JOHN HARDEN DRIVE                            ,JACKSONVILLE        ,AR,ARKANSAS                                                    ,72076,1819,3,3,2014,4,108,3.7,A,5,D,02      ,06,2013,12,135,8.8,A,2012,10,112,8.9,A
025388,SUFFOLK BEAUTY ACADEMY                                           ,860 PORTSMOUTH BOULEVARD                          ,SUFFOLK             ,VA,VIRGINIA                                                    ,23434,3000,3,3,2014,2,40,5.0,A,5,D,04      ,03,2013,4,40,10.0,A,2012,4,55,7.2,A
025391,BRIGHTWOOD COLLEGE                                               ,6180 LAUREL CANYON BOULEVARD       SUITE 101      ,NORTH HOLLYWOOD     ,CA,CALIFORNIA                                                  ,91606,3231,5,3,2014,106,763,13.8,A,5,D,28      ,09,2013,93,982,9.4,A,2012,125,1083,11.5,A
025395,IRVINE VALLEY COLLEGE                                            ,5500 IRVINE CENTER DRIVE                          ,IRVINE              ,CA,CALIFORNIA                                                  ,92618,4399,5,1,2014,21,133,15.7,A,5,D,48      ,09,2013,19,149,12.7,A,2012,14,156,8.9,A
025398,QUEEN CITY COLLEGE                                               ,1594 FORT CAMPBELL BOULEVARD       TRADEWINDS NORT,CLARKSVILLE         ,TN,TENNESSEE                                                   ,37042,3545,3,3,2014,16,58,27.5,A,5,D,07      ,04,2013,2,10,20.0,B,2012,0,0,0.0,A
025400,TENNESSEE ACADEMY OF COSMETOLOGY                                 ,"7041 US HIGHWAY 64, SUITE 101                     ",MEMPHIS             ,TN,TENNESSEE                                                   ,38133,8940,3,3,2014,6,87,6.8,A,5,D,09      ,04,2013,13,163,7.9,A,2012,15,143,10.4,A
025410,ALASKA CAREER COLLEGE                                            ,1415 E. TUDOR ROAD                                ,ANCHORAGE           ,AK,ALASKA                                                      ,99507,1033,5,3,2014,64,350,18.2,A,5,D,AL      ,10,2013,52,290,17.9,A,2012,83,399,20.8,A
025412,STRATFORD UNIVERSITY                                             ,7777 LEESBURG PIKE                 SUITE 100 S    ,FALLS CHURCH        ,VA,VIRGINIA                                                    ,22043,2403,8,3,2014,224,1063,21.0,A,5,D,08      ,03,2013,173,1030,16.7,A,2012,67,577,11.6,A
025419,BJ'S BEAUTY & BARBER COLLEGE                                     ,5239 SOUTH TACOMA WAY                             ,TACOMA              ,WA,WASHINGTON                                                  ,98409,4318,4,3,2014,7,58,12.0,A,5,D,06      ,10,2013,8,60,13.3,A,2012,12,67,17.9,A
025423,NATIONAL HOLISTIC INSTITUTE                                      ,5900 DOYLE STREET                                 ,EMERYVILLE          ,CA,CALIFORNIA                                                  ,94608,2020,3,3,2014,53,556,9.5,A,5,D,09      ,09,2013,41,715,5.7,A,2012,43,597,7.2,A
025434,BROWNSON TECHNICAL SCHOOL                                        ,1110 TECHNOLOGY CIRCLE             SUITE D        ,ANAHEIM             ,CA,CALIFORNIA                                                  ,92805,6329,3,3,2014,9,97,9.2,A,5,D,47      ,09,2013,8,147,5.4,A,2012,11,157,7.0,A
025443,BUTLER BEAUTY ACADEMY                                            ,233 SOUTH MAIN STREET                             ,BUTLER              ,PA,PENNSYLVANIA                                                ,16001,5925,3,3,2014,5,82,6.0,P,5,D,03      ,03,2013,13,93,13.9,P,2012,16,91,17.5,P
025454,NORTH AMERICAN TRADE SCHOOLS                                     ,6901 SECURITY BOULEVARD            SUITE 16       ,BALTIMORE           ,MD,MARYLAND                                                    ,21244,0069,3,3,2014,133,576,23.0,A,5,D,06      ,03,2013,114,493,23.1,A,2012,147,586,25.0,A
025457,GLASGOW SCHOOL OF ART                                            ,167 RENFREW STREET                                ,GLASGOW             ,FC,SCOTLAND            ,G3 6R,Q   ,8,5,2014,2,37,5.4,B,5,D,        ,11,2013,0,36,0.0,B,2012,0,36,0.0,B
025459,HYPNOSIS MOTIVATION INSTITUTE                                    ,"18607 VENTURA BLVD, SUITE 310                     ",TARZANA             ,CA,CALIFORNIA                                                  ,91356,4154,3,2,2014,18,101,17.8,A,5,D,27      ,09,2013,15,111,13.5,A,2012,17,113,15.0,A
025460,TRI-STATE COLLEGE OF ACUPUNCTURE                                 ,80 EIGHTH AVENUE                   FOURTH FLOOR   ,NEW YORK            ,NY,NEW YORK                                                    ,10011,5126,8,3,2014,2,38,5.2,A,5,D,08      ,02,2013,2,60,3.3,A,2012,0,49,0.0,A
025462,LAUREL BUSINESS INSTITUTE                                        ,11 EAST PENN STREET                               ,UNIONTOWN           ,PA,PENNSYLVANIA                                                ,15401,0877,5,3,2014,12,129,9.3,A,5,D,12      ,03,2013,12,163,7.3,A,2012,16,203,7.8,A
025464,MTI BUSINESS COLLEGE                                             ,6006 NORTH EL DORADO STREET                       ,STOCKTON            ,CA,CALIFORNIA                                                  ,95207,4349,3,3,2014,14,121,11.5,A,5,D,11      ,09,2013,1,129,0.7,A,2012,0,118,0.0,A
025476,FLORIDA NATIONAL UNIVERSITY                                      ,4425 WEST JOSE REGUEIRO 20TH AVENUE               ,HIALEAH             ,FL,FLORIDA                                                     ,33012,4108,8,3,2014,98,982,9.9,A,5,D,21      ,04,2013,107,1139,9.3,A,2012,130,1205,10.7,A
025485,COSMETOLOGY TRAINING CENTER                                      ,5520 JOHNSTON STREET SUITE H2                     ,LAFAYETTE           ,LA,LOUISIANA                                                   ,70503,5138,3,3,2014,4,50,8.0,A,5,D,07      ,06,2013,4,42,9.5,A,2012,5,49,10.2,A
025488,SOUTH TEXAS VOCATIONAL TECHNICAL INSTITUTE                       ,2419 EAST HAGGAR AVENUE                           ,WESLACO             ,TX,TEXAS                                                       ,78596,5036,3,3,2014,103,485,21.2,A,5,D,15      ,06,2013,236,791,29.8,A,2012,528,1319,40.0,A
025490,BRIGHTWOOD COLLEGE                                               ,2022 UNIVERSITY DRIVE                             ,VISTA               ,CA,CALIFORNIA                                                  ,92083,7736,5,3,2014,161,973,16.5,A,5,D,49      ,09,2013,128,1040,12.3,A,2012,173,1273,13.5,A
025500,CLARION COUNTY CAREER CENTER PRACTICAL NURSING                   ,447 CAREER ROAD                                   ,SHIPPENVILLE        ,PA,PENNSYLVANIA                                                ,16254,4637,3,1,2014,10,50,20.0,A,5,D,05      ,03,2013,12,85,14.1,B,2012,3,35,8.5,A
025511,PJ'S COLLEGE OF COSMETOLOGY                                      ,920 HAPPY VALLEY ROAD                             ,GLASGOW             ,KY,KENTUCKY                                                    ,42141,2434,4,3,2014,3,45,6.6,A,5,D,02      ,04,2013,5,44,11.3,A,2012,8,63,12.6,A
025524,ACADEMY OF HAIR TECHNOLOGY                                       ,3715 EAST NORTH STREET             SUITE F        ,GREENVILLE          ,SC,SOUTH CAROLINA                                              ,29615,2363,3,3,2014,7,57,12.2,A,5,D,04      ,04,2013,6,57,10.5,A,2012,17,68,25.0,A
025530,SCHOOL OF ADVERTISING ART                                        ,1725 EAST DAVID ROAD                              ,KETTERING           ,OH,OHIO                                                        ,45440,1612,5,3,2014,4,56,7.1,A,5,D,03      ,05,2013,2,66,3.0,A,2012,3,69,4.3,A
025535,ASSOCIATED TECHNICAL COLLEGE                                     ,707 BROADWAY                       SUITE 300      ,SAN DIEGO           ,CA,CALIFORNIA                                                  ,92101,3245,3,3,2014,12,139,8.6,A,5,D,53      ,09,2013,40,130,30.7,A,2012,48,157,30.5,A
025536,DIVERSIFIED VOCATIONAL COLLEGE                                   ,1670 WILSHIRE BOULEVARD                           ,LOS ANGELES         ,CA,CALIFORNIA                                                  ,90017,1604,3,3,2014,4,46,8.6,A,5,D,34      ,09,2013,2,53,3.7,A,2012,2,63,3.1,A
025545,HAZLETON AREA CAREER CENTER                                      ,1451 WEST 23RD STREET                             ,HAZLE TOWNSHIP      ,PA,PENNSYLVANIA                                                ,18202,1597,3,1,2014,2,61,3.2,B,5,D,11      ,03,2013,6,63,9.5,B,2012,10,80,12.5,B
025548,VANGUARD COLLEGE OF COSMETOLOGY A PAUL MITCHELL PARTNER SCHOOL   ,740 OAK HARBOR BOULEVARD                          ,SLIDELL             ,LA,LOUISIANA                                                   ,70458,8823,3,3,2014,30,260,11.5,A,5,D,01      ,06,2013,23,209,11.0,A,2012,19,166,11.4,A
025554,UNIVERSITY OF TEXAS MD ANDERSON CANCER CENTER                    ,1515 HOLCOMBE                                     ,HOUSTON             ,TX,TEXAS                                                       ,77030,0240,8,1,2014,2,90,2.2,A,5,D,25      ,06,2013,2,102,1.9,A,2012,2,81,2.4,A
025561,ETI SCHOOL OF SKILLED TRADES                                     ,500 JOLIET                         SUITE 100N     ,WILLOWBROOK         ,IL,ILLINOIS                                                    ,60527,5627,3,3,2014,39,312,12.5,A,5,D,06      ,05,2013,60,375,16.0,A,2012,27,294,9.1,A
025565,YUKON BEAUTY COLLEGE                                             ,221 W. MAIN                                       ,YUKON               ,OK,OKLAHOMA                                                    ,73099,4108,3,3,2014,5,49,10.2,B,5,D,03      ,06,2013,5,60,8.3,B,2012,12,73,16.4,B
025566,NILES SCHOOL OF COSMETOLOGY                                      ,8057 NORTH MILWAUKEE AVENUE                       ,NILES               ,IL,ILLINOIS                                                    ,60714,2827,3,3,2014,3,80,3.7,B,5,D,09      ,05,2013,5,93,5.3,B,2012,1,34,2.9,A
025568,PAUL MITCHELL THE SCHOOL                                         ,1969 EAST MURRAY HOLLADAY ROAD                    ,SALT LAKE           ,UT,UTAH                                                        ,84117,7204,3,3,2014,52,315,16.5,A,5,D,02      ,08,2013,39,306,12.7,A,2012,47,304,15.4,A
025578,ART INSTITUTE OF YORK (THE) - PENNSYLVANIA                       ,1409 WILLIAMS ROAD                                ,YORK                ,PA,PENNSYLVANIA                                                ,17402,9012,6,3,2014,34,265,12.8,A,5,D,19      ,03,2013,42,300,14.0,A,2012,43,267,16.1,A
025587,PRISM CAREER INSTITUTE                                           ,8040 ROOSEVELT BOULEVARD                          ,PHILADELPHIA        ,PA,PENNSYLVANIA                                                ,19152,2923,3,3,2014,94,377,24.9,A,5,D,02      ,03,2013,110,469,23.4,A,2012,161,698,23.0,A
025590,UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY                      ,2625 WEST BASELINE ROAD                           ,TEMPE               ,AZ,ARIZONA                                                     ,85283,1056,8,3,2014,68,413,16.4,A,5,D,05      ,09,2013,44,409,10.7,A,2012,52,425,12.2,A
025593,UNITED EDUCATION INSTITUTE                                       ,6055 PACIFIC BOULEVARD                            ,HUNTINGTON PARK     ,CA,CALIFORNIA                                                  ,90255,2933,3,3,2014,451,2626,17.1,P,5,D,33      ,09,2013,2027,8039,25.2,P,2012,3633,13982,25.9,P
025594,INTERCOAST COLLEGES                                              ,388 WEST CERRITOS AVENUE           BUILDING 7     ,ANAHEIM             ,CA,CALIFORNIA                                                  ,92805,1656,5,3,2014,220,1338,16.4,A,5,D,47      ,09,2013,168,1399,12.0,A,2012,233,1476,15.7,A
025595,NICHOLAS JAY SALON & SPA ACADEMY                                 ,120 HOLLY STREET                                  ,NAMPA               ,ID,IDAHO                                                       ,83686,5104,4,3,2014,12,91,13.1,A,5,D,01      ,10,2013,12,94,12.7,A,2012,8,82,9.7,A
025600,CASAL AVEDA INSTITUTE                                            ,6000 MAHONING AVENUE               AUSTINTOWN PLAZ,AUSTINTOWN          ,OH,OHIO                                                        ,44515,2240,4,3,2014,3,106,2.8,A,5,D,17      ,05,2013,2,82,2.4,A,2012,5,76,6.5,A
025602,PHILLIPS THEOLOGICAL SEMINARY                                    ,901 NORTH MINGO ROAD                              ,TULSA               ,OK,OKLAHOMA                                                    ,74116,5612,8,2,2014,3,49,6.1,B,5,D,01      ,06,2013,3,46,6.5,B,2012,5,63,7.9,B
025606,PINNACLE INSTITUTE OF COSMETOLOGY                                ,461-C EAST PLAZA DRIVE                            ,MOORESVILLE         ,NC,NORTH CAROLINA                                              ,28115,8020,3,3,2014,2,52,3.8,A,5,D,05      ,04,2013,1,37,2.7,A,2012,5,52,9.6,A
025607,PICKAWAY ROSS COUNTY JOINT VOCATIONAL SCHOOL DISTRICT            ,1410 INDUSTRIAL DRIVE                             ,CHILLICOTHE         ,OH,OHIO                                                        ,45601,3977,3,1,2014,15,154,9.7,A,5,D,18      ,05,2013,23,156,14.7,A,2012,33,154,21.4,A
025623,APOLLO CAREER CENTER                                             ,3325 SHAWNEE ROAD                                 ,LIMA                ,OH,OHIO                                                        ,45806,1497,3,1,2014,23,120,19.1,A,5,D,04      ,05,2013,8,58,13.7,A,2012,7,38,18.4,A
025630,RAPHAEL'S SCHOOL OF BEAUTY CULTURE                               ,2445 WEST STATE STREET                            ,ALLIANCE            ,OH,OHIO                                                        ,44601,2847,4,3,2014,6,62,9.6,A,5,D,06      ,05,2013,6,78,7.6,A,2012,16,74,21.6,A
025647,ELAINE STEVEN BEAUTY COLLEGE                                     ,10420 WEST FLORISSANT                             ,SAINT LOUIS         ,MO,MISSOURI                                                    ,63136,2343,3,3,2014,7,132,5.3,A,5,D,01      ,07,2013,12,156,7.6,A,2012,11,117,9.4,A
025681,TEXAS BARBER COLLEGE                                             ,9275 RICHMOND AVENUE               SUITE #180     ,HOUSTON             ,TX,TEXAS                                                       ,77063,3949,3,3,2014,117,829,14.1,A,5,D,24      ,06,2013,194,848,22.8,A,2012,229,982,23.3,A
025685,GRABBER SCHOOL OF HAIR DESIGN                                    ,9833 WATSON ROAD                                  ,ST. LOUIS           ,MO,MISSOURI                                                    ,63126,3933,3,3,2014,9,78,11.5,A,5,D,02      ,07,2013,3,69,4.3,A,2012,4,70,5.7,A
025686,MAHONING COUNTY CAREER AND TECHNICAL CENTER                      ,7300 NORTH PALMYRA ROAD                           ,CANFIELD            ,OH,OHIO                                                        ,44406,9710,3,1,2014,3,48,6.2,A,5,D,06      ,05,2013,11,36,30.5,B,2012,5,17,29.4,B
025688,SUSSEX COUNTY COMMUNITY COLLEGE                                  ,1 COLLEGE HILL ROAD                               ,NEWTON              ,NJ,NEW JERSEY                                                  ,07860,1149,5,1,2014,47,366,12.8,P,5,D,05      ,02,2013,47,449,10.4,P,2012,39,424,9.1,P
025693,LE CORDON BLEU COLLEGE OF CULINARY ARTS                          ,3110 ESPERANZA CROSSING            SUITE 100      ,AUSTIN              ,TX,TEXAS                                                       ,78758,3647,5,3,2014,503,2085,24.1,A,5,D,10      ,06,2013,758,3860,19.6,A,2012,1210,4415,27.4,A
025696,SEARCY BEAUTY COLLEGE                                            ,1004 SOUTH MAIN STREET                            ,SEARCY              ,AR,ARKANSAS                                                    ,72143,0000,3,3,2014,4,53,7.5,A,5,D,02      ,06,2013,4,44,9.0,A,2012,5,47,10.6,A
025703,LOS ANGELES ORT TECHNICAL INSTITUTE                              ,6435 WILSHIRE BLVD                                ,LOS ANGELES         ,CA,CALIFORNIA                                                  ,90048,4904,5,2,2014,5,159,3.1,A,5,D,30      ,09,2013,13,198,6.5,A,2012,17,211,8.0,A
025720,VISTA COLLEGE                                                    ,6101 MONTANA AVENUE                               ,EL PASO             ,TX,TEXAS                                                       ,79925,2021,5,3,2014,683,2689,25.3,A,5,D,16      ,06,2013,454,2304,19.7,A,2012,212,1645,12.8,A
025728,VISTA COLLEGE                                                    ,300 NORTH COIT ROAD                SUITE 300      ,RICHARDSON          ,TX,TEXAS                                                       ,75080,0000,6,3,2014,27,147,18.3,A,5,D,03      ,06,2013,37,178,20.7,A,2012,14,48,29.1,A
